Date,Stock Price,Price return
05/01/2015,5.424,-0.0350
06/01/2015,5.329,-0.0175
07/01/2015,5.224,-0.0197
08/01/2015,5.453,0.0438
09/01/2015,5.34,-0.0207
12/01/2015,5.264,-0.0142
13/01/2015,5.4,0.0258
14/01/2015,5.311,-0.0165
15/01/2015,5.42,0.0205
16/01/2015,5.492,0.0133
19/01/2015,5.635,0.0260
20/01/2015,5.729,0.0167
21/01/2015,5.764,0.0061
22/01/2015,5.952,0.0326
23/01/2015,5.902,-0.0084
26/01/2015,5.903,0.0002
27/01/2015,5.781,-0.0207
28/01/2015,5.722,-0.0102
29/01/2015,5.739,0.0030
30/01/2015,5.652,-0.0152
02/02/2015,5.675,0.0041
03/02/2015,5.846,0.0301
04/02/2015,5.786,-0.0103
05/02/2015,5.765,-0.0036
06/02/2015,5.852,0.0151
09/02/2015,5.756,-0.0164
10/02/2015,5.894,0.0240
11/02/2015,5.813,-0.0137
12/02/2015,5.933,0.0206
13/02/2015,6.116,0.0308
16/02/2015,6.085,-0.0051
17/02/2015,6.183,0.0161
18/02/2015,6.257,0.0120
19/02/2015,6.381,0.0198
20/02/2015,6.343,-0.0060
23/02/2015,6.4,0.0090
24/02/2015,6.405,0.0008
25/02/2015,6.353,-0.0081
26/02/2015,6.445,0.0145
27/02/2015,6.47,0.0039
02/03/2015,6.506,0.0056
03/03/2015,6.373,-0.0204
04/03/2015,6.418,0.0071
05/03/2015,6.402,-0.0025
06/03/2015,6.434,0.0050
09/03/2015,6.429,-0.0008
10/03/2015,6.358,-0.0110
11/03/2015,6.531,0.0272
12/03/2015,6.553,0.0034
13/03/2015,6.62,0.0102
16/03/2015,6.725,0.0159
17/03/2015,6.64,-0.0126
18/03/2015,6.561,-0.0119
19/03/2015,6.602,0.0062
20/03/2015,6.721,0.0180
23/03/2015,6.724,0.0004
24/03/2015,6.784,0.0089
25/03/2015,6.728,-0.0083
26/03/2015,6.647,-0.0120
27/03/2015,6.851,0.0307
30/03/2015,6.988,0.0200
31/03/2015,6.961,-0.0039
01/04/2015,7.084,0.0177
02/04/2015,7.145,0.0086
07/04/2015,7.239,0.0132
08/04/2015,7.264,0.0035
09/04/2015,7.397,0.0183
10/04/2015,7.356,-0.0055
