,returns,CDF for h = 0.001,CDF for h = 0.003,CDF for h = 0.01
377,-0.1713,-0.00028900273165755665,-0.0003239234870605019,-0.0003284562055697465
344,-0.0691,0.0017626499638354028,0.0015682686551701773,0.0037284072198662736
357,-0.0614,0.004365318888710354,0.005136945256309924,0.008688939729017811
404,-0.0607,0.004344755474270339,0.0058977849478631965,0.00911033716391566
276,-0.0586,0.008301360892111195,0.007292677072724307,0.011870650513633497
265,-0.057,0.010220267382267886,0.009361316351633345,0.01346978268053469
281,-0.0546,0.012387126284239979,0.012282416156029331,0.016958062490235883
161,-0.0529,0.014452433729064797,0.015145761861463297,0.019516527692684228
160,-0.0528,0.015538845096039082,0.015265178514753053,0.020132153130423967
384,-0.0513,0.01803016980396433,0.01732306771726615,0.022821255237593676
80,-0.0501,0.02064443392225206,0.019363985334650387,0.024847479488423647
378,-0.0491,0.021879987417165972,0.021127373678546175,0.027081389796267744
122,-0.0483,0.024190787606905264,0.023141149229116562,0.028533150950901878
264,-0.0455,0.029957329936948166,0.03026551896218778,0.03563497884434078
280,-0.0454,0.02764820951441185,0.02964227762731679,0.035507466344056604
188,-0.045,0.029621700107712083,0.030332380307350117,0.03710805446824422
255,-0.0447,0.03135089218928178,0.030975552141303257,0.0379474394248842
238,-0.0446,0.032881663690160164,0.03140133692137886,0.03777046795297378
277,-0.0435,0.03390617002921769,0.034499257486024046,0.04062697836958806
267,-0.0428,0.03585344862302615,0.035931209164167775,0.043769652292111674
145,-0.042,0.038923380227998954,0.038462023736283234,0.046045950685338594
183,-0.0408,0.04186207948256553,0.04178097059195991,0.05024819613622705
151,-0.0391,0.04893567352613782,0.04587173149028343,0.056820965346835596
96,-0.0391,0.04705141891140673,0.0466124901053115,0.056546965985226974
127,-0.039,0.0460369368423766,0.04599008172763294,0.05664776557763939
339,-0.0389,0.045722989355194775,0.047486943359849904,0.0575873003924187
367,-0.0368,0.05109246082725743,0.053703183350693254,0.06634863722161354
368,-0.0368,0.053113615370280094,0.05483450944025486,0.06665536428283615
181,-0.0358,0.05736511479931005,0.058910428722878154,0.07034112043109185
0,-0.035,0.06028581091057368,0.06412580546923446,0.07480752872934027
242,-0.0348,0.06126154392488779,0.061951209996492625,0.07559978730856873
187,-0.0348,0.058876136814663006,0.06189730125470452,0.07633315338749867
83,-0.034,0.06505686517281632,0.06644890465748694,0.0789109551881432
390,-0.0338,0.06350856485760588,0.06798765605085993,0.08058592550978154
258,-0.0332,0.07029614640135069,0.07086265770066713,0.08460082783115111
88,-0.0332,0.0677575315238428,0.06914429763848051,0.08423412840391696
333,-0.0327,0.07053153492692303,0.07294809064189872,0.08642633700163427
313,-0.0324,0.07180198899059663,0.07447003800852614,0.08965458543519171
257,-0.0319,0.07569373083109049,0.07762401505581647,0.09205786705785719
142,-0.0317,0.0779875938977807,0.07763917986517364,0.09311850464693122
475,-0.0316,0.07825169191357602,0.07918473062716316,0.093190749990865
340,-0.0308,0.0832711685734099,0.08364658927377082,0.09835088582954339
401,-0.0308,0.08451924393773903,0.0830906073808798,0.09877538412575272
300,-0.0306,0.0840659675250457,0.08408010374560755,0.09967788728332627
319,-0.0303,0.08577601060714708,0.08583487557935447,0.10178555490184685
162,-0.0301,0.08766722972187928,0.08782673052157028,0.10416422520589104
472,-0.0298,0.08744782756025259,0.08812950143722185,0.10581430630162812
433,-0.0296,0.08813603952190402,0.09018425780448691,0.10671075187170087
226,-0.0285,0.09766754806435123,0.09604609784442089,0.11480221977996573
456,-0.0283,0.09898304346287615,0.09824374838394308,0.11633255032294364
236,-0.0282,0.10051953045985434,0.09724652143369204,0.11629464462100994
385,-0.0278,0.09931549058877626,0.10131391563979987,0.11852404900241346
220,-0.0268,0.09998922340761032,0.10697512702676253,0.12730085374236663
154,-0.0266,0.10623594683067908,0.10854918373580622,0.12883605752429145
270,-0.0263,0.10647968255191244,0.11199444573316635,0.13184575030446466
292,-0.0263,0.10570468080317627,0.10913191506620491,0.13088884695771183
171,-0.0263,0.10695472206191094,0.11050782600757386,0.1303852170666846
369,-0.0254,0.11275090795752096,0.11768905275679446,0.13785186152786297
470,-0.0249,0.11686372852889138,0.11962868030189419,0.14350883147898297
263,-0.0249,0.11997111084764855,0.11992379990481958,0.1432322874484117
112,-0.0249,0.12115343361549978,0.11951954353098947,0.14207362670821014
72,-0.0248,0.12011756981105619,0.11931349949966426,0.14418908869361566
303,-0.0245,0.12288455437118434,0.1242593384358753,0.14671488202457453
247,-0.0244,0.12416920233419021,0.12289211950453943,0.14863285113843516
306,-0.0241,0.12304180757497563,0.12766076928664802,0.14951185642496673
240,-0.0234,0.13010429271476545,0.13343564619707518,0.15722028929442367
164,-0.0228,0.13132934164021906,0.13833591555437746,0.16285097387876657
308,-0.0228,0.1327947200922817,0.1379952899396943,0.16321991652644008
312,-0.0224,0.13728750536559856,0.14373221005989575,0.16653997245326382
197,-0.0224,0.134825542981336,0.1405127191093081,0.16642057343538716
468,-0.0221,0.13766425494709172,0.14476157095097186,0.16986441308442646
259,-0.0215,0.14091345692070617,0.15034781529746974,0.17614916540809664
234,-0.0215,0.14442288291167518,0.14925380262786078,0.17597040024328353
371,-0.0212,0.14611175655519018,0.15244953781906906,0.17908985759576448
288,-0.0211,0.1480024988941162,0.15408130130158793,0.17876145894015474
217,-0.0211,0.1537533956101585,0.1540926494769877,0.17990890728916478
107,-0.0211,0.150589601446806,0.15371020239647276,0.18069888060115932
4,-0.0207,0.153529908994215,0.15989744360605845,0.1836085323056424
16,-0.0207,0.15432924466477888,0.1580417541150866,0.18292258715303028
443,-0.0205,0.15465535476234044,0.16171559579815475,0.18546975690454406
41,-0.0204,0.15330960831845317,0.16268918433684695,0.1883941159231999
291,-0.0203,0.1598332336175299,0.16311964884765973,0.18917297211554496
203,-0.0203,0.1582544181987612,0.16338647602824896,0.18808096447284095
289,-0.0199,0.1661543978219982,0.1665705064337369,0.19435161518365388
168,-0.0198,0.16356451212958822,0.16841867131192054,0.19561722354889832
2,-0.0197,0.16532970504876016,0.17188275275207898,0.19555881192582245
415,-0.0195,0.17124405183971858,0.17007513390167123,0.19751940678713345
500,-0.0193,0.17235347069947807,0.17478623259810214,0.19927672884205877
439,-0.0193,0.17281318284477418,0.17338342781864108,0.19971194551478383
327,-0.0191,0.17428504045611518,0.1753041212311946,0.2023705912676884
338,-0.0189,0.17693283448092434,0.17752207811886264,0.2050931621828324
362,-0.0188,0.17830393062220837,0.1798971274584532,0.20461216251469647
366,-0.0187,0.1848046107744743,0.1809259464009531,0.20738868603028146
337,-0.0185,0.18129246439784877,0.18484825329510807,0.2098315335882931
114,-0.0184,0.17976283517494082,0.1841774729533242,0.21057515183720624
321,-0.0182,0.1844612108222878,0.1865172900810097,0.21235302863033254
1,-0.0175,0.19131160798091396,0.1961899898160346,0.2224011456106124
159,-0.0171,0.19714055052455975,0.20039523370541942,0.22687711434990931
428,-0.0171,0.19641154601374972,0.2003242491111109,0.22579891834632448
241,-0.0169,0.19875147266370993,0.20583702153043876,0.22948210097509078
125,-0.0169,0.19922430698277105,0.2026386063921135,0.22850162593038223
480,-0.0167,0.1991518679757495,0.20347103904189054,0.23024021303414818
210,-0.0166,0.2059115970944453,0.2066391315501655,0.23286165498813483
246,-0.0166,0.20704706840399248,0.20694014557721854,0.23303588592318064
7,-0.0165,0.20648757111507024,0.20995321808725642,0.23344630197322144
25,-0.0164,0.20739870180196038,0.2086434943740624,0.23570302662865525
301,-0.0162,0.21013121013906466,0.21175448784271572,0.23734750532421098
198,-0.0159,0.2138519352874221,0.21597030874530382,0.24267571626954446
260,-0.0159,0.2135116026590102,0.2155539343682795,0.24097807279759034
346,-0.0159,0.21706915398362625,0.21855775825634416,0.24159110321581745
156,-0.0157,0.22002158610178957,0.22255397949536534,0.24464655395481538
148,-0.0154,0.22003598179072964,0.22286802131060798,0.2501094750359605
341,-0.0154,0.22247706709518952,0.22433721853776106,0.24901540566489289
383,-0.0153,0.221290098660921,0.22569986483789783,0.2503612123487426
19,-0.0152,0.22852517247290946,0.2251245840307317,0.24959324054769008
488,-0.0149,0.22404751018761135,0.2309775812935674,0.25488269376494105
106,-0.0149,0.22995283686730714,0.23215547384669805,0.2547198496122582
417,-0.0148,0.23160697812352984,0.23317369313058195,0.2575071814130715
469,-0.0148,0.23094500723376352,0.2327413428093766,0.2570793168656373
97,-0.0148,0.22713275005670858,0.23378544236108612,0.2556826001969074
5,-0.0142,0.23966210270854799,0.24165025108468186,0.2639543638393738
359,-0.0141,0.24336069336511176,0.24319977389670355,0.26546767596525256
176,-0.0141,0.2473106325173576,0.2412956501742543,0.2662081745841078
184,-0.014,0.24206365857729956,0.24376020752733651,0.26952938738259774
101,-0.014,0.2452082914903126,0.24382648323172723,0.26880090431419384
175,-0.0139,0.2501726329477436,0.24427827645245986,0.26921336855676775
502,-0.0138,0.25006209122088835,0.24585394809593067,0.27255347013009584
27,-0.0137,0.2451885324319524,0.2470797239093542,0.2735873553835637
