,returns,CDF for h = 0.001,CDF for h = 0.003,CDF for h = 0.01
431,-0.9999211499543017,-0.001381386356829341,-0.0013027456359965299,-0.0013657995843115852
973,-0.9995303229850168,-0.001532217716367081,-0.0013579714347256712,-0.0014027656519745228
1435,-0.9983724149780597,-0.0014294876370953779,-0.0012799442848537412,-0.001414109628937752
140,-0.998360121921249,-0.0014653178031701526,-0.0013934445158967441,-0.0013546042094894142
868,-0.998349406743857,-0.00116281842364691,-0.0013738778289131106,-0.00132745666109716
674,-0.996965446976501,-0.001352783113343868,-0.0011977436458373452,-0.0014184419180106479
1295,-0.9965117398632715,-0.0014237597580856317,-0.0013833150482331956,-0.0013439650644341522
1319,-0.9964670613593483,-0.0013204813057068547,-0.0014788492067055936,-0.001334089752039792
1870,-0.9959950555765518,-0.001188194235825781,-0.0014069765584630912,-0.001279098104067422
1558,-0.9952394715176904,-0.0016150688953491992,-0.001256133054975457,-0.0013715927675668055
1,-0.9944496119273398,-0.001185927186200228,-0.0013042385501361826,-0.0012713965282774224
1855,-0.9943106564174577,-0.0013479170299188657,-0.0013119918789643613,-0.0013421384670677628
787,-0.9939873081762556,-0.001371759003511233,-0.0012706908010401154,-0.0014114679507167694
306,-0.9935596042872459,-0.0015815000534557732,-0.0012909924919203434,-0.0013409406379938278
1667,-0.991772828474893,-0.0014674564998713574,-0.0012806543346566004,-0.0013471296294253956
2484,-0.9917590679103421,-0.0014917399433205343,-0.0012594367173373636,-0.0013735523418421302
2139,-0.991729193681709,-0.0012728293475267494,-0.0011808669673955966,-0.0014079995179619264
1662,-0.9910176453315447,-0.0012737756867631724,-0.0013952804179126553,-0.0013182820482247695
2442,-0.9908449821471141,-0.0012435568455951558,-0.0013630742412618973,-0.001329041103993853
1936,-0.989370423298213,-0.0014103571648660265,-0.0013840254015269609,-0.001374210253273276
1035,-0.9889656817869419,-0.0014607745411716428,-0.001383596845192444,-0.0013295932316367755
349,-0.9871394381409451,-0.0015069602179092517,-0.0013795019772308043,-0.0013773198294565678
668,-0.985524585811681,-0.0015258708718128005,-0.0012623377015608657,-0.0014231573891769665
526,-0.9853518651804893,-0.0013087463352507423,-0.0014569399723107952,-0.001330640909639216
1153,-0.9833628016327864,-0.0014463168844976258,-0.0014939092569588805,-0.0013995677797383472
90,-0.9830250517758927,-0.001325051900851986,-0.0013240295355163216,-0.00135557086166745
221,-0.9823910659559678,-0.001486019472342003,-0.0012730907499593684,-0.0013406228821070468
2414,-0.9821931352528179,-0.001299568001486784,-0.0013168171460885773,-0.0013259213471188852
1245,-0.982111387942517,-0.0012704342420562845,-0.0013423641404809,-0.0013587300411432054
1292,-0.981741809679513,-0.0012996990935605819,-0.0012678488595192997,-0.0013539488771622619
